# time [�s]	Amp[V]	HF [V]	TGC [dB]
3.3	0.790	-0.709	0.315
3.4	0.788	0.046	0.157
3.5	0.715	0.645	0.157
3.6	0.590	0.487	0.315
3.7	0.470	-0.001	0.315
3.8	0.406	-0.308	0.315
3.9	0.403	-0.402	0.157
4.0	0.424	-0.103	0.157
4.1	0.423	0.314	0.315
4.2	0.379	0.338	0.157
4.3	0.307	-0.017	0.315
4.4	0.239	-0.213	0.315
4.5	0.200	-0.190	0.315
4.6	0.193	-0.056	0.157
4.7	0.209	0.102	0.315
4.8	0.234	0.228	0.315
4.9	0.256	0.141	0.315
5.0	0.271	-0.135	0.315
5.1	0.276	-0.284	0.315
5.2	0.276	-0.166	0.157
5.3	0.280	0.054	0.315
5.4	0.294	0.235	0.157
5.5	0.316	0.298	0.157
5.6	0.333	0.015	0.157
5.7	0.331	-0.308	0.315
5.8	0.308	-0.213	0.315
5.9	0.278	0.086	0.315
6.0	0.260	0.243	0.315
6.1	0.264	0.212	0.157
6.2	0.281	-0.017	0.315
6.3	0.288	-0.276	0.315
6.4	0.271	-0.198	0.157
6.5	0.232	0.054	0.315
6.6	0.192	0.165	0.315
6.7	0.170	0.157	0.157
6.8	0.172	0.039	0.315
6.9	0.185	-0.150	0.315
7.0	0.188	-0.166	0.157
7.1	0.170	-0.017	0.315
7.2	0.138	0.102	0.315
7.3	0.109	0.109	0.157
7.4	0.095	0.054	0.315
7.5	0.097	-0.040	0.157
7.6	0.104	-0.095	0.315
7.7	0.106	-0.080	0.315
7.8	0.097	0.007	0.315
7.9	0.079	0.070	0.157
8.0	0.061	0.054	0.157
8.1	0.048	-0.009	0.157
8.2	0.043	-0.040	0.315
8.3	0.044	-0.024	0.315
8.4	0.049	0.015	0.315
8.5	0.056	0.054	0.157
8.6	0.062	0.039	0.315
8.7	0.065	-0.040	0.157
8.8	0.061	-0.056	0.157
8.9	0.050	-0.009	0.315
9.0	0.036	0.023	0.315
9.1	0.024	0.023	0.157
9.2	0.017	0.015	0.157
9.3	0.016	-0.009	0.157
9.4	0.018	-0.009	0.315
9.5	0.020	0.015	0.315
9.6	0.018	0.015	0.315
9.7	0.014	-0.009	0.157
9.8	0.011	-0.009	0.157
9.9	0.009	-0.009	0.315
10.0	0.010	-0.001	0.315
10.1	0.012	-0.009	0.157
10.2	0.013	-0.001	0.157
10.3	0.014	-0.001	0.157
10.4	0.014	0.007	0.315
10.5	0.015	0.015	0.157
10.6	0.016	0.007	0.315
10.7	0.018	-0.017	0.315
10.8	0.019	-0.009	0.315
10.9	0.018	0.007	0.315
11.0	0.015	0.015	0.315
11.1	0.011	-0.001	0.157
11.2	0.007	-0.001	0.157
11.3	0.005	-0.001	0.315
11.4	0.004	-0.001	0.315
11.5	0.007	0.007	0.157
11.6	0.012	-0.001	0.315
11.7	0.017	-0.017	0.315
11.8	0.019	-0.001	0.157
11.9	0.017	0.015	0.315
12.0	0.012	0.007	0.315
12.1	0.007	0.007	0.157
12.2	0.004	-0.001	0.315
12.3	0.007	-0.009	0.315
12.4	0.013	-0.009	0.315
12.5	0.020	-0.001	0.315
12.6	0.023	0.015	0.315
12.7	0.024	0.023	0.157
12.8	0.024	0.015	0.315
12.9	0.025	-0.017	0.315
13.0	0.027	-0.024	0.000
13.1	0.028	-0.017	0.157
13.2	0.027	0.007	1.575
13.3	0.023	0.015	2.992
13.4	0.019	0.023	3.937
13.5	0.018	0.015	4.724
13.6	0.021	-0.001	5.039
13.7	0.025	-0.017	5.354
13.8	0.026	-0.024	5.512
13.9	0.022	-0.001	5.669
14.0	0.016	0.015	5.669
14.1	0.011	0.007	5.669
14.2	0.011	0.007	5.669
14.3	0.014	-0.009	5.827
14.4	0.017	-0.017	5.827
14.5	0.016	-0.001	5.827
14.6	0.013	0.007	5.984
14.7	0.010	0.007	5.827
14.8	0.010	-0.009	5.984
14.9	0.014	-0.001	5.984
15.0	0.018	0.007	5.984
15.1	0.019	0.023	5.984
15.2	0.017	0.007	6.142
15.3	0.014	-0.009	6.142
15.4	0.013	-0.009	6.142
15.5	0.013	-0.001	6.142
15.6	0.013	0.015	6.142
15.7	0.011	0.007	6.142
15.8	0.007	-0.001	6.299
15.9	0.004	-0.001	6.299
16.0	0.004	0.007	6.299
16.1	0.007	-0.001	6.299
16.2	0.011	-0.009	6.299
16.3	0.013	-0.009	6.457
16.4	0.012	0.007	6.457
16.5	0.011	0.007	6.457
16.6	0.010	0.007	6.457
16.7	0.013	0.015	6.457
16.8	0.017	-0.001	6.614
16.9	0.020	-0.017	6.614
17.0	0.020	-0.017	6.614
17.1	0.018	-0.001	6.614
17.2	0.015	0.015	6.614
17.3	0.012	-0.001	6.772
17.4	0.010	-0.009	6.772
17.5	0.008	-0.001	6.772
17.6	0.007	0.007	6.772
17.7	0.006	-0.001	6.772
17.8	0.007	-0.001	6.772
17.9	0.008	0.007	6.929
18.0	0.009	0.007	6.929
18.1	0.009	-0.009	6.929
18.2	0.007	-0.001	6.929
18.3	0.005	-0.001	6.929
18.4	0.004	-0.001	7.087
18.5	0.005	-0.001	7.087
18.6	0.008	-0.001	7.087
18.7	0.009	0.007	7.087
18.8	0.009	0.007	7.087
18.9	0.008	0.007	7.244
19.0	0.008	-0.001	7.244
19.1	0.008	-0.009	7.244
19.2	0.009	-0.001	7.244
19.3	0.010	0.007	7.244
